ID,Sex,Age,Height,Weight,Country,Year,Sport,Medal
19597,M,22,186,75,UK,2000,Athletics,NA
19631,M,22,180,83,UK,2000,Athletics,NA
19673,M,21,180,63,China,1976,Cycling,NA
19839,M,24,175,67,UK,1960,Athletics,NA
19846,M,20,182,61,Australia,1960,Cycling,NA
19948,F,26,173,67,Canada,1988,Athletics,NA
19964,F,22,173,61,Canada,2016,Athletics,NA
20008,F,23,175,58,Russia,2012,Swimming,NA
20013,F,30,172,64,France,2008,Cycling,Gold
20029,M,22,185,75,France,1996,Swimming,NA
20065,M,18,181,66,Russia,1980,Swimming,Silver
20094,M,30,180,77,Italy,2004,Athletics,NA
20117,M,26,177,68,France,1948,Athletics,Silver
20145,F,20,179,60,Russia,2000,Swimming,NA
20182,M,19,175,62,China,2012,Athletics,Gold
20193,M,24,176,60,China,2004,Athletics,NA
20305,F,15,168,58,China,1996,Swimming,NA
20307,F,25,180,97,China,2016,Athletics,NA
20308,M,24,183,72,China,1996,Athletics,NA
20338,M,25,178,68,China,1988,Athletics,NA
20339,M,22,186,78,China,2004,Swimming,NA
20347,F,24,175,54,Russia,1960,Athletics,NA
20352,F,23,178,65,China,2016,Swimming,NA
20354,M,27,177,82,China,2012,Cycling,NA
20363,M,21,179,73,China,2012,Swimming,NA
20368,F,19,179,66,China,2004,Swimming,NA
20449,M,28,185,70,Russia,2000,Cycling,NA
20454,F,26,165,53,Russia,2004,Athletics,NA
20458,F,22,174,66,Russia,2008,Athletics,Gold
20484,F,25,165,56,Russia,1980,Athletics,Gold
20511,M,18,173,65,France,1972,Athletics,NA
20527,M,22,187,86,Russia,1980,Athletics,NA
20572,M,24,179,68,China,1956,Swimming,NA
20601,M,22,180,70,Canada,1976,Cycling,NA
20635,M,24,180,80,China,2000,Athletics,NA
20640,M,18,184,92,Italy,1992,Cycling,NA
20640,M,22,184,92,Italy,1996,Cycling,NA
20640,M,27,184,92,Italy,2000,Cycling,NA
20640,M,34,184,92,Italy,2008,Cycling,NA
20671,F,22,180,57,Russia,2004,Athletics,NA
20706,F,27,172,55,Italy,2016,Athletics,NA
20746,M,28,183,102,USA,1912,Athletics,Bronze
20892,F,26,174,90,Russia,1972,Athletics,Gold
20950,M,22,174,71,France,1932,Cycling,NA
21175,M,26,176,74,France,1924,Cycling,NA
21198,M,21,185,72,USA,1960,Cycling,NA
21313,M,28,189,94,UK,1988,Athletics,NA
21362,M,19,182,69,China,2008,Athletics,NA
21411,F,22,170,56,Russia,2000,Athletics,NA
21414,M,33,189,131,Russia,2004,Athletics,NA
21439,M,19,188,71,Russia,2016,Swimming,NA
21518,M,28,174,62,Italy,2008,Cycling,NA
21518,M,28,174,62,Italy,2008,Cycling,NA
21606,M,30,173,60,Italy,1976,Athletics,NA
